model_type,T,N,x0,r_growth,K,dissipation_rate,interest_rate,unit_cost,unit_price,E,time_step,x_opt,u_opt,profit_instant,profit_cum
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.0,500.0,0.5,20.833333333333332,0.0
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.08333333333333333,524.6564661451142,0.5,21.76978939695549,20.833333333333332
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.16666666666666666,532.3684339988309,0.5,21.997936006532278,42.60312273028882
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.25,532.836489985517,0.5,21.925728700115705,64.6010587368211
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.3333333333333333,532.9057744585463,0.5,21.83740069819506,86.52678743693681
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.41666666666666663,532.9114804431733,0.5,21.746833673870654,108.36418813513188
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.5,532.9121522843265,0.5,21.656437681802323,130.11102180900252
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.5833333333333333,532.9122152564591,0.5,21.5663928022954,151.76745949080484
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.6666666666666666,532.9122220599534,0.5,21.476720055001202,173.33385229310025
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.75,532.9122227317756,0.5,21.38741991960173,194.81057234810146
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.8333333333333333,532.9122228019646,0.5,21.298491069843354,216.1979922677032
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,0.9166666666666666,532.9122228090413,0.5,21.209931983554654,237.49648333754655
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.0,532.9122228097708,0.5,21.121741125530605,258.7064153211012
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.0833333333333333,532.912222809845,0.5,21.033916964905515,279.8281564466318
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.1666666666666665,532.9122228098527,0.5,20.946457976975626,300.8620734115373
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.25,532.9122228098533,0.5,20.859362643355908,321.80853138851296
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.3333333333333333,532.9122228098535,0.5,20.772629451972655,342.66789403186885
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.4166666666666665,532.9122228098536,0.5,20.68625689703914,363.4405234838415
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.5,532.9122228098535,0.5,20.600243479029665,384.12678038088063
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.5833333333333333,532.9122228098536,0.5,20.51458770465358,404.7270238599103
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.6666666666666665,532.9122228098536,0.5,20.429288086829303,425.24161156456387
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.75,532.9122228098535,0.5,20.34434314465854,445.67089965139314
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.8333333333333333,532.9122228098536,0.5,20.259751403400607,466.01524279605167
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,1.9166666666666665,532.9122228098536,0.5,20.175511394446737,486.2749941994523
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,2.0,532.9122228098535,0.5,20.091621655294656,506.45050559389904
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,2.083333333333333,532.9122228098536,0.5,20.008080729523197,526.5421272491936
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,2.1666666666666665,532.9122228098535,0.5,19.924887166766943,546.5502079787168
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,2.25,532.9122228098535,0.5,19.842039522691135,566.4750951454837
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,2.333333333333333,532.9122228098536,0.5,19.759536358966535,586.3171346681748
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,2.4166666666666665,532.9122228098535,0.5,19.677376243244463,606.0766710271414
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,2.5,532.9122228098535,0.5,19.595557749131977,625.7540472703859
volterra,30,360,500.0,2,5000.0,6,0.05,2,10,0.5,2.583333333333333,532.9122228098536,0.5,19.514079456167046,645.3496050195179
