time_step,x_opt,u_opt,profit_instant,profit_cum
0.0,500.0,0.0,0.0,0.0
0.08333333333333333,672.5083277429981,0.0,0.0,0.0
0.16666666666666666,881.8471160464971,0.0,0.0,0.0
0.25,1129.7509763571898,0.42835404086755535,39.82682322543053,0.0
0.3333333333333333,1374.3059523681554,1.0,112.63255608093436,39.82682322543053
0.41666666666666663,1568.6844796290823,1.0,128.02846895663265,152.4593793063649
0.5,1752.8219584323901,1.0,142.46205250666867,280.48784826299755
0.5833333333333333,1920.1365214645098,1.0,155.41178179227265,422.9499007696662
0.6666666666666666,2065.4748585898046,1.0,166.4800448640711,578.3616825619389
0.75,2185.590730738648,1.0,175.42906593915308,744.84172742601
0.8333333333333333,2279.228007107715,1.0,182.18428956379933,920.2707933651632
0.9166666666666666,2346.855014033198,1.0,186.80988385115282,1102.4550829289624
1.0,2390.191617525588,1.0,189.4683830654413,1289.2649667801152
1.0833333333333333,2411.688517651397,1.0,190.37752880964098,1478.7333498455564
1.1666666666666665,2414.0759842955244,1.0,189.77362122285098,1669.1108786551974
1.25,2400.0365002795347,1.0,187.88546996597773,1858.8844998780485
1.3333333333333333,2372.00451192911,1.0,184.91889911968295,2046.7699698440263
1.4166666666666665,2332.068541703746,1.0,181.04958711896575,2231.6888689637094
1.5,2281.9429884161677,1.0,176.42147863968432,2412.738456082675
1.5833333333333333,2222.9804809017114,1.0,171.1483658631068,2589.159934722359
1.6666666666666665,2156.2033090421646,1.0,165.31690094079235,2760.308300585466
1.75,2082.339993571468,1.0,158.98993327529547,2925.6252015262585
1.8333333333333333,2001.8588044531846,1.0,152.20953840798398,3084.6151348015537
1.9166666666666665,1958.2530245428752,1.0,148.27491102215356,3236.8246732095377
2.0,1976.0962049989535,1.0,149.00381566015926,3385.099584231691
2.083333333333333,1997.0224829679357,1.0,149.9556037473439,3534.10339989185
2.1666666666666665,2019.2678256229838,1.0,150.9955368367538,3684.059003639194
2.25,2041.247387494661,1.0,152.00443752145145,3835.0545404759478
2.333333333333333,2061.618082177335,1.0,152.88302917240833,3987.0589779973993
2.4166666666666665,2079.301768255166,1.0,153.55325498623142,4139.942007169808
2.5,2093.480671270125,1.0,153.9575173347171,4293.495262156039
2.583333333333333,2107.5780501788513,1.0,154.34979259591222,4447.452779490756
2.6666666666666665,2117.417009590861,1.0,154.42557267346888,4601.802572086668
2.75,2122.607459282148,1.0,154.16044269371542,4756.228144760137
2.833333333333333,2122.9423360488613,1.0,153.54366411293637,4910.388587453853
2.9166666666666665,2120.8091880941174,1.0,152.75158954985125,5063.932251566789
3.0,2115.827392535485,1.0,151.75912612449366,5216.68384111664
3.083333333333333,2108.117838813236,1.0,150.57743835294906,5368.442967241133
3.1666666666666665,2101.152033398932,1.0,149.45585687704101,5519.020405594082
3.25,2095.207921578105,1.0,148.4133704757586,5668.476262471123
3.333333333333333,2090.4602669418073,1.0,147.46136771468286,5816.889632946882
3.4166666666666665,2087.919134647967,1.0,146.6697171113442,5964.351000661564
3.5,2086.7104964727178,1.0,145.97531471473508,6111.020717772908
3.583333333333333,2086.416066371841,1.0,145.34783848227522,6256.996032487643
3.6666666666666665,2087.0532611818217,1.0,144.7876873295248,6402.3438709699185
3.75,2088.372629886157,1.0,144.27680998221703,6547.131558299443
3.833333333333333,2090.0835617571174,1.0,143.79461682121382,6691.40836828166
3.9166666666666665,2091.8717715384373,1.0,143.31923368038971,6835.202985102874
4.0,2093.5668179104787,1.0,142.83896145391,6978.522218783263
4.083333333333333,2094.975864723365,1.0,142.34077341298814,7121.361180237173
4.166666666666666,2095.917106136947,1.0,141.81260641595378,7263.701953650161
4.25,2096.4254811314013,1.0,141.25720418066322,7405.514560066115
4.333333333333333,2096.5565972796435,1.0,140.67865486154983,7546.771764246779
4.416666666666666,2096.3797128636456,1.0,140.08189370554004,7687.450419108329
4.5,2096.027274477149,1.0,139.47598113600134,7827.532312813869
4.583333333333333,2095.5816075751536,1.0,138.8665075526821,7967.00829394987
4.666666666666666,2095.1013444505707,1.0,138.25740792404753,8105.874801502552
4.75,2094.64687751006,1.0,137.65266794230445,8244.1322094266
4.833333333333333,2094.264025545118,1.0,137.0552533610153,8381.784877368904
4.916666666666666,2093.9810076626613,1.0,136.4669332988878,8518.84013072992
5.0,2093.80649238415,1.0,135.88817798906393,8655.307064028806
5.083333333333333,2093.737862274247,1.0,135.31871961723664,8791.19524201787
5.166666666666666,2093.759737681057,1.0,134.75747256427348,8926.513961635106
5.25,2093.844609067346,1.0,134.2025909770582,9061.27143419938
5.333333333333333,2093.966066350957,1.0,133.6523291493457,9195.474025176438
5.416666666666666,2094.1003923561457,1.0,133.10514103651934,9329.126354325783
5.5,2094.227693149517,1.0,132.55974795017553,9462.231495362303
5.583333333333333,2094.3359744083286,1.0,132.01539021620408,9594.791243312478
5.666666666666666,2094.4183243598573,1.0,131.47163977038025,9726.806633528682
5.75,2094.4715902444605,1.0,130.92831065877817,9858.278273299062
5.833333333333333,2094.4965357674796,1.0,130.3854638798236,9989.206583957839
5.916666666666666,2094.49698128687,1.0,129.84334898049968,10119.592047837663
6.0,2094.4787276828456,1.0,129.30233369147615,10249.435396818162
6.083333333333333,2094.448336737976,1.0,128.76282644724373,10378.737730509638
6.166666666666666,2094.4123928779745,1.0,128.22523027832932,10507.500556956882
6.25,2094.3766706560236,1.0,127.68989209609836,10635.725787235211
6.333333333333333,2094.345338958122,1.0,127.15705547310858,10763.415679331309
6.416666666666666,2094.3209684854874,1.0,126.62686318321875,10890.572734804417
