time_step,x_opt,u_opt,profit_instant,profit_cum
0.0,500.0,0.0,0.0,0.0
0.1,703.588419058091,0.0,0.0,0.0
0.2,957.738214035454,0.0,0.0,0.0
0.30000000000000004,1264.4800080895432,1.0,124.56543533583863,0.0
0.4,1492.6811970549386,1.0,146.312412902319,124.56543533583863
0.5,1710.624185695806,1.0,166.8388724064515,270.87784823815764
0.6000000000000001,1907.2594699483077,1.0,185.08914339294304,437.71672064460915
0.7000000000000001,2073.831186498491,1.0,200.25026260867986,622.8058640375522
0.8,2205.1013976278678,1.0,211.86381351008833,823.0561266462321
0.9,2299.5821712863317,1.0,219.83947650180255,1034.9199401563205
1.0,2358.873966218587,1.0,224.38303253558234,1254.759416658123
1.1,2386.54316718944,1.0,225.88276626946728,1479.1424491937053
1.2000000000000002,2387.0020986753943,1.0,224.79939181236557,1705.0252154631726
1.3,2364.669906654391,1.0,221.58552311535118,1929.8246072755383
1.4000000000000001,2323.4789981502504,1.0,216.63974585565575,2151.410130390889
1.5,2266.661901757172,1.0,210.28808150643067,2368.049876246545
1.6,2196.7154552784527,1.0,202.78239451277005,2578.337957752976
1.7000000000000002,2115.453504590299,1.0,194.30700310463044,2781.120352265746
1.8,2024.088791769174,1.0,184.98778685558094,2975.4273553703765
1.9000000000000001,1936.252201586948,1.0,176.07753464276968,3160.4151422259574
2.0,1955.0563708870636,1.0,176.9008158748204,3336.492676868727
2.1,1978.6066367377948,1.0,178.1388075606972,3513.3934927435475
2.2,2003.981256286072,1.0,179.5234815875484,3691.532300304245
2.3000000000000003,2028.5968607960324,1.0,180.82225613492628,3871.0557818917932
2.4000000000000004,2050.349043178232,1.0,181.84964687982438,4051.8780380267194
2.5,2068.9054750133273,1.0,182.58026734395727,4233.727684906544
2.6,2086.2416902631408,1.0,183.1919296016053,4416.307952250501
2.7,2097.6564827737993,1.0,183.27558462550257,4599.499881852106
2.8000000000000003,2102.4721160562653,1.0,182.78014487898682,4782.7754664776085
2.9000000000000004,2100.3462225681037,1.0,181.68463057723446,4965.555611356595
3.0,2095.8322648414796,1.0,180.3899547598056,5147.24024193383
3.1,2086.834651675246,1.0,178.71968685934107,5327.630196693635
3.2,2078.661495754348,1.0,177.13184829702823,5506.349883552976
3.3000000000000003,2072.354381358953,1.0,175.7136232593264,5683.4817318500045
3.4000000000000004,2068.7785219226184,1.0,174.53556522763836,5859.195355109331
3.5,2066.7145491295187,1.0,173.49180381926416,6033.73092033697
3.6,2066.028170622135,1.0,172.5691786857194,6207.222724156234
3.7,2066.6888151772723,1.0,171.7633927683105,6379.791902841954
3.8000000000000003,2068.296116561956,1.0,171.03963652904946,6551.555295610264
3.9000000000000004,2070.36357747396,1.0,170.3566906322421,6722.594932139314
4.0,2072.3577304096207,1.0,169.6703005265246,6892.951622771556
4.1000000000000005,2074.0720916286405,1.0,168.96372634890815,7062.62192329808
4.2,2075.152704414076,1.0,168.20860901804787,7231.585649646989
4.3,2075.6367809702965,1.0,167.40870786088138,7399.794258665037
4.4,2075.64449982125,1.0,166.57437289939796,7567.202966525919
4.5,2075.364713874731,1.0,165.7212383869887,7733.777339425316
4.6000000000000005,2074.905697672678,1.0,164.85822988265664,7899.498577812305
4.7,2074.369831668111,1.0,163.9936320266076,8064.356807694961
4.800000000000001,2073.8598086832762,1.0,163.13559054564172,8228.35043972157
4.9,2073.4513701380547,1.0,162.28997972308753,8391.486030267211
5.0,2073.185653949109,1.0,161.4598610747969,8553.776009990299
5.1000000000000005,2073.064403473485,1.0,160.64518075874503,8715.235871065095
5.2,2073.072297338145,1.0,159.8445682348019,8875.88105182384
5.300000000000001,2073.1663084127626,1.0,159.05455271037513,9035.725620058642
5.4,2073.303756127683,1.0,158.2717572959449,9194.780172769017
5.5,2073.44905783027,1.0,157.49341032549486,9353.051930064961
5.6000000000000005,2073.5794234980685,1.0,156.71776148969766,9510.545340390456
5.7,2073.6797198442855,1.0,155.9436708215927,9667.263101880153
5.800000000000001,2073.7423901858165,1.0,155.170587911934,9823.206772701746
5.9,2073.7676899413013,1.0,154.39855502275088,9978.37736061368
6.0,2073.761870129335,1.0,153.62805787468056,10132.775915636432
6.1000000000000005,2073.7347033478477,1.0,152.85983221247866,10286.403973511113
6.2,2073.6965802541563,1.0,152.09464449201286,10439.26380572359
6.300000000000001,2073.6571426841965,1.0,151.3331911779489,10591.358450215605
6.4,2073.6231477650226,1.0,150.5759452003287,10742.691641393554
6.5,2073.598333190997,1.0,149.8231516197103,10893.267586593884
6.6000000000000005,2073.583810615372,1.0,149.07486147116035,11043.090738213594
6.7,2073.5789162091623,1.0,148.33099738220776,11192.165599684755
6.800000000000001,2073.5817402628973,1.0,147.59139445415764,11340.496597066962
6.9,2073.5896788263794,1.0,146.85584152856003,11488.087991521119
7.0,2073.600021507852,1.0,146.12412379970513,11634.94383304968
7.1000000000000005,2073.610420945871,1.0,145.39605587277933,11781.067956849385
7.2,2073.619187697731,1.0,144.67150165433486,11926.464012722165
7.300000000000001,2073.6253722766987,1.0,143.9503788610086,12071.1355143765
7.4,2073.6287391152473,1.0,143.2326559103152,12215.085893237509
7.5,2073.629576431699,1.0,142.5183376065372,12358.318549147823
7.6000000000000005,2073.628484675563,1.0,141.80744977131127,12500.836886754361
7.7,2073.626184438508,1.0,141.10002564516745,12642.644336525673
7.800000000000001,2073.6233800105824,1.0,140.39609645562848,12783.74436217084
7.9,2073.620658930147,1.0,139.6956846895324,12924.140458626469
8.0,2073.6184311829825,1.0,138.9988002250927,13063.836143316
